hdr;country;code;ind;anno
46;Romania;ROU;24.8;2005
47;Kuwait;KWT;2.3;2005
48;Belarus;BLR;0.0;2005
49;Oman;OMN;0.0;2005
50;Barbados;BRB;0.0;2005
51;Uruguay;URY;12.8;2005
52;Bulgaria;BGR;28.9;2005
53;Kazakhstan;KAZ;10.9;2005
54;Bahamas, The;BHS;5.1;2005
55;Panama;PAN;9.1;2005
56;Mauritius;MUS;28.8;2005
57;Trinidad and Tobago;TTO;15.8;2005
58;Costa Rica;CRI;12.6;2005
59;Serbia;SRB;17.5;2005
60;Cuba;CUB;13.2;2005
61;Iran, Islamic Rep.;IRN;28.3;2005
62;Georgia;GEO;4.4;2005
63;Turkey;TUR;15.1;2005
64;Venezuela, RB;VEN;11.2;2005
65;Sri Lanka;LKA;27.6;2005
66;Albania;ALB;0.0;2005
67;Lebanon;LBN;0.0;2005
68;Mexico;MEX;18.9;2005
69;Azerbaijan;AZE;8.7;2005
70;Brazil;BRA;13.3;2005
71;Bosnia and Herzegovina;BIH;0.0;2005
72;Armenia;ARM;9.8;2005
73;Ukraine;UKR;0.0;2005
74;Jordan;JOR;0.0;2005
75;Peru;PER;13.4;2005
76;Thailand;THA;18.7;2005
77;Ecuador;ECU;12.1;2005
78;China;CHN;0.0;2005
79;Fiji;FJI;0.0;2005
80;Mongolia;MNG;14.8;2005
81;Jamaica;JAM;5.3;2005
82;Colombia;COL;16.3;2005
83;Suriname;SUR;0.0;2005
84;Tunisia;TUN;0.0;2005
85;Dominican Republic;DOM;15.1;2005
86;Tonga;TON;0.0;2005
87;Libya;LBY;0.0;2005
88;Belize;BLZ;10.3;2005
89;Samoa;WSM;0.0;2005
90;Maldives;MDV;0.0;2005
91;Uzbekistan;UZB;0.0;2005
92;Moldova;MDA;11.5;2005
93;Botswana;BWA;0.0;2005
94;Gabon;GAB;0.0;2005
95;Paraguay;PRY;0.0;2005
96;Egypt, Arab Rep.;EGY;5.0;2005
97;Turkmenistan;TKM;0.0;2005
98;Indonesia;IDN;0.0;2005
99;Vietnam;VNM;0.0;2005
100;Philippines;PHL;12.0;2005
101;El Salvador;SLV;20.1;2005
102;Bolivia;BOL;10.8;2005
103;South Africa;ZAF;13.7;2005
104;Kyrgyz Republic;KGZ;10.3;2005
105;Iraq;IRQ;0.0;2005
106;Morocco;MAR;15.9;2005
107;Nicaragua;NIC;19.1;2005
108;Guatemala;GTM;0.0;2005
109;Namibia;NAM;0.0;2005
110;Tajikistan;TJK;0.0;2005
111;Honduras;HND;23.3;2005
112;India;IND;14.4;2005
113;Bhutan;BTN;5.8;2005
114;Congo, Dem. Rep.;COD;0.0;2005
115;Lao PDR;LAO;0.0;2005
116;Bangladesh;BGD;12.5;2005
117;Ghana;GHA;0.0;2005
118;Zambia;ZMB;0.0;2005
119;Cambodia;KHM;0.0;2005
120;Nepal;NPL;0.0;2005
121;Myanmar;MMR;0.0;2005
122;Kenya;KEN;0.0;2005
123;Pakistan;PAK;15.0;2005
124;Syrian Arab Republic;SYR;0.0;2005
125;Tanzania;TZA;0.0;2005
126;Nigeria;NGA;0.0;2005
127;Cameroon;CMR;0.0;2005
128;Papua New Guinea;PNG;0.0;2005
129;Zimbabwe;ZWE;0.0;2005
130;Mauritania;MRT;0.0;2005
131;Rwanda;RWA;0.0;2005
132;Lesotho;LSO;0.0;2005
133;Senegal;SEN;0.0;2005
134;Haiti;HTI;0.0;2005
135;Uganda;UGA;0.0;2005
136;Sudan;SDN;0.0;2005
137;Togo;TGO;0.0;2005
138;Benin;BEN;0.0;2005
139;Yemen, Rep.;YEM;0.0;2005
140;Afghanistan;AFG;0.0;2005
141;Malawi;MWI;0.0;2005
142;Cote d'Ivoire;CIV;0.0;2005
143;Gambia, The;GMB;0.0;2005
144;Ethiopia;ETH;8.4;2005
145;Mali;MLI;0.0;2005
146;Congo, Rep.;COG;0.0;2005
147;Liberia;LBR;0.0;2005
148;Sierra Leone;SLE;0.0;2005
149;Mozambique;MOZ;0.0;2005
150;Burundi;BDI;0.0;2005
151;Burkina Faso;BFA;0.0;2005
152;Chad;TCD;0.0;2005
153;Central African Republic;CAF;0.0;2005
1;Norway;NOR;7.0;2010
2;Switzerland;CHE;10.1;2010
3;Australia;AUS;8.6;2010
4;Germany;DEU;14.3;2010
5;Denmark;DNK;9.2;2010
6;Singapore;SGP;0.0;2010
7;Netherlands;NLD;6.2;2010
8;Ireland;IRL;8.8;2010
9;Iceland;ISL;7.8;2010
10;Canada;CAN;8.6;2010
11;United States;USA;7.8;2010
12;New Zealand;NZL;9.7;2010
13;Sweden;SWE;7.6;2010
14;United Kingdom;GBR;7.4;2010
15;Japan;JPN;14.8;2010
16;Korea, Rep.;KOR;14.4;2010
17;Israel;ISR;9.4;2010
18;Luxembourg;LUX;4.6;2010
19;France;FRA;10.1;2010
20;Belgium;BEL;10.1;2010
21;Finland;FIN;9.9;2010
22;Austria;AUT;11.5;2010
23;Slovenia;SVN;20.5;2010
24;Italy;ITA;14.1;2010
25;Spain;ESP;9.6;2010
26;Czech Republic;CZE;23.2;2010
27;Greece;GRC;7.8;2010
28;Estonia;EST;18.0;2010
29;Cyprus;CYP;9.4;2010
30;Malta;MLT;13.2;2010
31;Qatar;QAT;0.0;2010
32;Poland;POL;16.1;2010
33;Lithuania;LTU;16.6;2010
34;Chile;CHL;10.2;2010
35;Saudi Arabia;SAU;0.0;2010
36;Slovak Republic;SVK;21.1;2010
37;Portugal;PRT;15.9;2010
38;United Arab Emirates;ARE;0.0;2010
39;Hungary;HUN;19.8;2010
40;Latvia;LVA;13.6;2010
41;Argentina;ARG;9.2;2010
42;Croatia;HRV;14.9;2010
43;Bahrain;BHR;9.0;2010
44;Montenegro;MNE;10.6;2010
45;Russian Federation;RUS;17.8;2010
46;Romania;ROU;19.9;2010
47;Kuwait;KWT;0.0;2010
48;Belarus;BLR;0.0;2010
49;Oman;OMN;6.3;2010
50;Barbados;BRB;8.9;2010
