hdr;country;code;gii;anno
69;Azerbaijan;AZE;0.320;2005
70;Brazil;BRA;0.470;2005
71;Bosnia and Herzegovina;BIH;0.000;2005
72;Armenia;ARM;0.410;2005
73;Ukraine;UKR;0.370;2005
74;Jordan;JOR;0.560;2005
75;Peru;PER;0.460;2005
76;Thailand;THA;0.350;2005
77;Ecuador;ECU;0.450;2005
78;China;CHN;0.230;2005
79;Fiji;FJI;0.410;2005
80;Mongolia;MNG;0.410;2005
81;Jamaica;JAM;0.470;2005
82;Colombia;COL;0.480;2005
83;Suriname;SUR;0.490;2005
84;Tunisia;TUN;0.340;2005
85;Dominican Republic;DOM;0.470;2005
86;Tonga;TON;0.480;2005
87;Libya;LBY;0.270;2005
88;Belize;BLZ;0.460;2005
89;Samoa;WSM;0.490;2005
90;Maldives;MDV;0.420;2005
91;Uzbekistan;UZB;0.000;2005
92;Moldova;MDA;0.290;2005
93;Botswana;BWA;0.520;2005
94;Gabon;GAB;0.570;2005
95;Paraguay;PRY;0.540;2005
96;Egypt, Arab Rep.;EGY;0.580;2005
97;Turkmenistan;TKM;0.000;2005
98;Indonesia;IDN;0.530;2005
99;Vietnam;VNM;0.320;2005
100;Philippines;PHL;0.470;2005
101;El Salvador;SLV;0.490;2005
102;Bolivia;BOL;0.560;2005
103;South Africa;ZAF;0.430;2005
104;Kyrgyz Republic;KGZ;0.680;2005
105;Iraq;IRQ;0.000;2005
106;Morocco;MAR;0.580;2005
107;Nicaragua;NIC;0.540;2005
108;Guatemala;GTM;0.570;2005
109;Namibia;NAM;0.530;2005
110;Tajikistan;TJK;0.350;2005
111;Honduras;HND;0.520;2005
112;India;IND;0.620;2005
113;Bhutan;BTN;0.000;2005
114;Congo, Dem. Rep.;COD;0.630;2005
115;Lao PDR;LAO;0.540;2005
116;Bangladesh;BGD;0.590;2005
117;Ghana;GHA;0.570;2005
118;Zambia;ZMB;0.590;2005
119;Cambodia;KHM;0.560;2005
120;Nepal;NPL;0.650;2005
121;Myanmar;MMR;0.000;2005
122;Kenya;KEN;0.650;2005
123;Pakistan;PAK;0.600;2005
